state,year,receipts_rm_million,receipts_rm_million_growth_pct,visitors_000,visitors_000_growth_pct,trips_000,trips_000_growth_pct,receipts_per_capita_rm,receipts_per_capita_rm_growth_pct,receipts_per_trip_rm,receipts_per_trip_rm_growth_pct,avg_length_of_stay,avg_length_of_stay_growth_pct
Selangor,2018,13189.3369497779,12.1189859567447,30179.0472040831,18.3902417981422,41388.1917517712,16.6751943216702,437.036227836692,-5.29710535779593,318.673911362979,-3.90503602022197,1.87205542435413,-6.45604078411414
Selangor,2019,15544.408509962,17.8558753116377,33588.5269586995,11.2975062849403,45766.3686716109,10.5783237549931,462.789229461461,5.89264687557942,339.646971371017,6.58135456345814,2.23511176713951,19.3934612224762
Selangor,2020,7051.46346613165,-54.6366562509435,19714.734,-41.3051545123093,21897.63,-52.1534466561617,357.674796227616,-22.7132410484498,322.019481840348,-5.18994456494458,1.64066150657808,-26.5959970906603
Selangor,2021,3158.5633823777,-55.2069808267694,10211.58,-48.2033082465125,11319.209,-48.3085201457875,309.311916704143,-13.5214669955934,279.044532385408,-13.3454501601385,1.83160904055607,11.6384478585256
Selangor,2022,8734.80808554066,176.543701300218,21989.558,115.339428374453,25987.93,129.59139635994,397.225268718028,28.4222324670323,336.110189828149,20.4503764882673,2.32250757479501,26.8014911135132
Selangor,2023,11102.7131520834,27.1088390649647,27579.478,25.4207929054326,28949.304,11.3951899978182,402.571548021446,1.34590614556624,383.52262811166,14.1062186504232,2.24207367577779,-3.46323516401531
Terengganu,2017,4763.26008351186,,12979.3763672308,,22517.5294898087,,366.986821919869,,211.53564318269,,2.44976269855927,
Terengganu,2018,5585.33933270478,17.2587520895314,13742.3663642652,5.8784796391353,22651.4080975321,0.59455282509564,406.432137279395,10.7484282822937,246.578018843487,16.5657073831917,2.59806388363574,6.05369594221052
Terengganu,2019,5990.01250659243,7.24527463386333,14158.2836313106,3.02653310223866,24902.0224648954,9.93586958335055,423.074764044543,4.09481072942499,240.54321350953,-2.44742226507527,2.5783696197242,-0.758036168224618
Terengganu,2020,2254.5058315233,-62.3622516807426,7419.729,-47.5944316895058,10084.391,-59.50372699962,303.852853860741,-28.1798680318474,223.563905001631,-7.05873521026453,2.0600272733523,-20.1034926259853
Terengganu,2021,984.111528570248,-56.3491247256915,3719.052,-49.8761747228234,4128.968,-59.0558517614004,264.613543604727,-12.9139186146982,238.343220041969,6.61077871234632,2.19970922273613,6.78058738302645
Terengganu,2022,3363.29891312298,241.75993426368,10233.282,175.158346804508,12791.324,209.794699305008,328.662780242251,24.204821780853,262.93594886057,10.3181994496301,2.68542326435746,22.0808294387733
Terengganu,2023,4192.31725641659,24.6489641482335,11760.516,14.9241856131787,13868.81,8.42356897534609,356.473921417784,8.46190772044038,302.283848175625,14.9648229865747,2.59412179953652,-3.39989103515813
WP Kuala Lumpur,2017,9394.86854933352,,19049.4424775752,,20905.1439536708,,493.18338635858,,449.404633144555,,2.7502619035314,
